;topic;StyleID;id;topic_safe
209;tolle;44970574;10194;tolle
210;gehen;44970574;10195;gehen
211;form;434886;10196;form
212;weiß;654563;10197;weiss
213;material;1709054;10198;material
214;stoff;9743730;10199;stoff
215;farbe;515928;102;farbe
216;schwarz;553018;1020;schwarz
217;material;515928;10200;material
218;kauf;1709054;10201;kauf
219;voll;8623725;10202;voll
220;qualität;44970574;10203;qualitaet
221;schöne;44970574;10204;schoene
222;suchen;1709054;10205;suchen
223;hüfte;44970574;10206;huefte
224;schwarz;655046;10207;schwarz
225;material;434886;10208;material
226;material;515928;10209;material
227;luftig;709229;1021;luftig
228;pflegeleicht;553018;10210;pflegeleicht
229;form;8623725;10211;form
230;hos;44970574;10213;hos
231;schlecht;553018;10214;schlecht
232;sitzen;654563;10215;sitzen
233;brust;655046;10216;brust
234;angenehm;655046;10218;angenehm
235;eng;44970574;10219;eng
236;verarbeitung;9743730;1022;verarbeitung
237;qualität;1709054;10220;qualitaet
238;beqemen;553018;10221;beqemen
239;material;434886;10222;material
240;duch;709229;10223;duch
241;stoff;434886;10224;stoff
242;schönes;709229;10225;schoenes
243;schuhe;553018;10226;schuhe
244;zurückschicken;654563;10227;zurueckschicken
245;passen;515928;10228;passen
246;passform;654563;10229;passform
247;bequem;1709054;1023;bequem
248;bequem;654563;10230;bequem
249;tolle;44970574;10231;tolle
250;dehnen;44970574;10232;dehnen
251;erster;515928;10234;erster
252;passen;44970574;10235;passen
253;qualität;9743730;10236;qualitaet
254;oberschenkel;434886;10237;oberschenkel
255;grossartig;654563;10239;grossartig
256;absolut;9743730;1024;absolut
257;katalog;1709054;10240;katalog
258;qualität;654563;10241;qualitaet
259;matral;654563;10242;matral
260;material;553018;10243;material
261;schwarz;44970574;10244;schwarz
262;beschreiben;8623725;10245;beschreiben
263;topen;8623725;10247;topen
264;sollen;8623725;10248;sollen
265;stimmen;553018;10249;stimmen
266;passen;553018;1025;passen
267;passform;515928;10250;passform
268;sitzt;8623725;10251;sitzt
269;paßform;434886;10252;passform
270;klassen;654563;10253;klassen
271;hos;434886;10254;hos
272;verarbeitung;515928;10255;verarbeitung
273;richtig;553018;10257;richtig
274;passt;434886;10258;passt
275;material;434886;10259;material
276;stück;9743730;1026;stueck
277;stoffqualität;709229;10260;stoffqualitaet
278;passen;434886;10261;passen
279;finden;655046;10262;finden
280;sofern;44970574;10263;sofern
281;faires;553018;10264;faires
282;passform;655046;10265;passform
283;material;709229;10266;material
284;passend;515928;10267;passend
285;passform;654563;10268;passform
286;farbe;553018;10269;farbe
287;lieben;44970574;10270;lieben
288;angenehm;654563;10271;angenehm
289;passen;44970574;10272;passen
290;enttäuschen;654563;10274;enttaeuschen
291;isolieren;9743730;10275;isolieren
292;qualität;9743730;10276;qualitaet
293;farbe;44970574;10277;farbe
294;passen;1709054;10278;passen
295;blau;434886;10279;blau
296;leo;553018;1028;leo
297;farbe;9743730;10281;farbe
298;echt;9743730;10282;echt
299;einwandfrei;654563;10283;einwandfrei
300;groß;655046;10285;gross
301;erfahrung;655046;10286;erfahrung
302;teuer;434886;10287;teuer
303;passt;434886;10288;passt
304;bequem;515928;1029;bequem
305;qualität;1709054;10290;qualitaet
306;eng;44970574;10291;eng
307;soweit;44970574;10292;soweit
308;herr;434886;10294;herr
309;klassisch;553018;10295;klassisch
310;passen;515928;10296;passen
311;passt;434886;10297;passt
312;material;553018;10298;material
313;gardine;9743730;10299;gardine
314;qualität;1709054;103;qualitaet
315;elastisch;8623725;1030;elastisch
316;passen;515928;10300;passen
317;danke;709229;10301;danke
318;schöner;515928;10302;schoener
319;perfekter;8623725;10304;perfekter
320;passen;9743730;10305;passen
321;material;654563;10306;material
322;qualität;9743730;10307;qualitaet
323;erfüllen;709229;10308;erfuellen
324;leichtes;654563;10309;leichtes
325;farbe;9743730;1031;farbe
326;fallen;44970574;10310;fallen
327;sitzen;434886;10311;sitzen
328;ausseh;655046;10312;ausseh
329;je;553018;10313;je
330;passt;8623725;10314;passt
331;okay;654563;10315;okay
332;mutter;1709054;10316;mutter
333;stoff;9743730;10317;stoff
334;gardinen;9743730;10318;gardinen
335;klein;8623725;10319;klein
336;gardine;9743730;1032;gardine
337;schlicht;434886;10320;schlicht
338;material;1709054;10321;material
339;bequem;655046;10322;bequem
340;passen;654563;10323;passen
341;schönes;709229;10324;schoenes
342;qualität;655046;10325;qualitaet
343;orange;9743730;10326;orange
344;bequ;434886;10327;bequ
345;finden;434886;10328;finden
346;neten;44970574;10329;neten
347;teil;709229;1033;teil
348;neu;44970574;10331;neu
349;level;655046;10332;level
350;gross;655046;10333;gross
351;qualität;9743730;10334;qualitaet
352;weich;709229;10335;weich
353;bequemer;553018;10336;bequemer
354;farbe;44970574;10337;farbe
355;sitzen;655046;10338;sitzen
356;slips;515928;10339;slips
357;set;1709054;1034;set
358;verarbeitung;655046;10340;verarbeitung
359;geben;553018;10341;geben
360;lass;709229;10342;lass
361;absolut;515928;10343;absolut
362;material;655046;10344;material
363;bequem;655046;10345;bequem
364;bequem;434886;10346;bequem
365;lassen;553018;10347;lassen
366;farbe;654563;10348;farbe
367;wirken;9743730;10349;wirken
368;empfehlunge;709229;1035;empfehlunge
369;reissverschluß;434886;10350;reissverschluss
370;preis;553018;10351;preis
371;bequem;515928;10352;bequem
372;passt;44970574;10353;passt
373;passform;515928;10355;passform
374;bild;1709054;10356;bild
375;angiessen;1709054;10357;angiessen
376;diesmal;553018;10358;diesmal
377;sitzen;515928;10359;sitzen
378;sitzen;8623725;1036;sitzen
379;unbequem;515928;10360;unbequem
380;qualität;1709054;10361;qualitaet
381;gerne;1709054;10362;gerne
382;größe;709229;10363;groesse
383;irgendwie;8623725;10364;irgendwie
384;überraschen;654563;10365;ueberraschen
385;form;654563;10366;form
386;top;655046;10367;top
387;dehnbund;434886;10368;dehnbund
388;art;515928;10369;art
389;beschreiben;8623725;10370;beschreiben
390;bequem;434886;10371;bequem
391;preis;655046;10372;preis
392;wunderbar;654563;10373;wunderbar
393;gefallen;9743730;10374;gefallen
394;tochter;44970574;10375;tochter
395;preis;654563;10376;preis
396;material;44970574;10377;material
397;schade;8623725;10378;schade
398;bequem;655046;10379;bequem
399;zart;709229;1038;zart
400;set;654563;10380;set
401;völlig;434886;10381;voellig
402;angeben;8623725;10382;angeben
403;leistung;654563;10383;leistung
404;tragen;1709054;10384;tragen
405;endlich;655046;10385;endlich
406;schöner;9743730;10386;schoener
407;weichesen;44970574;10388;weichesen
408;sollen;709229;10389;sollen
409;strapazierfähig;434886;1039;strapazierfaehig
410;groß;434886;10390;gross
411;geschmack;8623725;10391;geschmack
412;qualität;9743730;10392;qualitaet
413;tolles;9743730;10393;tolles
414;schick;44970574;10394;schick
415;material;553018;10396;material
416;qualität;654563;10397;qualitaet
417;größe;44970574;10398;groesse
418;jeanshose;434886;10399;jeanshose
419;sitzen;655046;1040;sitzen
420;vernünftig;515928;10400;vernuenftig
421;passform;654563;10401;passform
422;preis;1709054;10402;preis
423;material;655046;10403;material
424;gefallen;434886;10404;gefallen
425;preis;1709054;10406;preis
426;richtig;44970574;10407;richtig
427;tolle;9743730;10408;tolle
428;weite;44970574;10409;weite
429;material;9743730;1041;material
430;artikelbeschreibung;434886;10410;artikelbeschreibung
431;sand;44970574;10411;sand
432;geil;44970574;10412;geil
433;fallen;709229;10413;fallen
434;passform;8623725;10414;passform
435;vorstellung;44970574;10415;vorstellung
436;passen;44970574;10416;passen
437;schönes;9743730;10417;schoenes
438;bereits;44970574;10418;bereits
439;passen;9743730;10419;passen
440;endlich;709229;1042;endlich
441;kaufe;434886;10420;kaufe
442;rauchros;44970574;10421;rauchros
443;echt;654563;10422;echt
444;gleich;553018;10423;gleich
445;schnelle;44970574;10424;schnelle
446;neu;44970574;10425;neu
447;stoff;9743730;10426;stoff
448;wunschgemäß;44970574;10427;wunschgemaess
449;körpergröße;44970574;10428;koerpergroesse
450;guter;1709054;10429;guter
451;erwarten;434886;1043;erwarten
452;verstellbar;8623725;10430;verstellbar
453;beschreiben;553018;10431;beschreiben
454;material;44970574;10432;material
455;bild;654563;10433;bild
456;vorstellung;709229;10434;vorstellung
457;passt;655046;10435;passt
458;material;709229;10437;material
459;erfahrung;44970574;10438;erfahrung
460;material;434886;10439;material
461;angenehm;515928;1044;angenehm
462;bequem;553018;10440;bequem
463;material;9743730;10441;material
464;material;44970574;10442;material
465;schlecht;44970574;10443;schlecht
466;schöne;654563;10444;schoene
467;figur;8623725;10445;figur
468;sommerhose;44970574;10446;sommerhose
469;erster;434886;10447;erster
470;schick;709229;10448;schick
471;klass;8623725;10449;klass
472;material;515928;1045;material
473;material;8623725;10450;material
474;schuhen;553018;10451;schuhen
475;angenehm;1709054;10452;angenehm
476;begeistert;9743730;10453;begeistert
477;material;654563;10454;material
478;bequem;434886;10455;bequem
479;passform;515928;10456;passform
480;shirt;709229;10457;shirt
481;woln;654563;10458;woln
482;sitzt;8623725;10459;sitzt
483;sitzen;654563;1046;sitzen
484;farbe;44970574;10460;farbe
485;foto;709229;10461;foto
486;federleicht;553018;10462;federleicht
487;bequem;709229;10463;bequem
488;passform;8623725;10464;passform
489;verdunkelt;9743730;10465;verdunkelt
490;preis;1709054;10466;preis
491;farbe;1709054;10467;farbe
492;sitzen;434886;10468;sitzen
493;angenehm;515928;10469;angenehm
494;stoffqualität;9743730;1047;stoffqualitaet
495;longshirts;1709054;10471;longshirts
496;material;8623725;10472;material
497;schlank;44970574;10473;schlank
498;breit;9743730;10474;breit
499;einfacher;654563;10475;einfacher
500;vorstellung;709229;10476;vorstellung
501;preis;654563;10477;preis
502;preis;434886;10478;preis
503;ware;654563;10479;ware
504;bestellt;9743730;1048;bestellt
505;bequem;1709054;10480;bequem
506;preis;434886;10481;preis
507;angenehm;553018;10482;angenehm
508;waschen;1709054;10483;waschen
509;sitz;654563;10484;sitz
510;früh;1709054;10485;frueh
511;passen;553018;10486;passen
512;materail;44970574;10487;materail
513;wunderbar;654563;10488;wunderbar
514;form;44970574;10489;form
515;naht;654563;1049;naht
516;schade;9743730;10490;schade
517;farbe;9743730;10491;farbe
518;prima;553018;10492;prima
519;echt;515928;10493;echt
520;optimal;655046;10494;optimal
521;falsch;9743730;10495;falsch
522;sicherlich;1709054;10496;sicherlich
523;bequem;553018;10497;bequem
524;farbe;1709054;10498;farbe
525;farbe;1709054;10499;farbe
526;locker;1709054;105;locker
527;fühlen;8623725;1050;fuehlen
528;verdunkeln;9743730;10500;verdunkeln
529;fenster;9743730;10501;fenster
530;stoff;9743730;10502;stoff
531;passen;553018;10503;passen
532;passt;655046;10504;passt
533;tolles;515928;10505;tolles
534;komfortabel;434886;10507;komfortabel
535;wohl;8623725;10508;wohl
536;luftig;709229;10509;luftig
537;materijal;709229;1051;materijal
538;preis;655046;10510;preis
539;material;553018;10511;material
540;merkwürdig;1709054;10512;merkwuerdig
541;lieblingsstrandkleid;709229;10513;lieblingsstrandkleid
542;top;434886;10514;top
543;material;9743730;10516;material
544;spitze;655046;10517;spitze
545;schade;9743730;10518;schade
546;angenehm;515928;10519;angenehm
547;bast;655046;1052;bast
548;schlecht;1709054;10520;schlecht
549;passen;44970574;10522;passen
550;material;654563;10526;material
551;entsprach;654563;10527;entsprach
552;bequem;553018;10528;bequem
553;öfters;434886;10529;oefters
554;stoff;8623725;1053;stoff
555;echt;655046;10530;echt
556;schwarz;709229;10531;schwarz
557;anlass;709229;10532;anlass
558;leistungsverhältnis;709229;10533;leistungsverhaeltnis
559;schauen;553018;10534;schauen
560;völlig;515928;10535;voellig
561;qualität;515928;10536;qualitaet
562;preis;434886;10537;preis
563;spitzenmäßig;553018;10538;spitzenmaessig
564;top;434886;10539;top
565;material;44970574;1054;material
566;normal;655046;10540;normal
567;passt;654563;10541;passt
568;fühlt;8623725;10542;fuehlt
569;farbe;9743730;10543;farbe
570;passt;654563;10544;passt
571;sitzen;655046;10545;sitzen
572;passform;654563;10546;passform
573;material;9743730;10547;material
574;superschönes;709229;10548;superschoenes
575;kennen;434886;10549;kennen
576;angenehm;1709054;1055;angenehm
577;schöne;44970574;10550;schoene
578;gute;434886;10551;gute
579;werfen;44970574;10552;werfen
580;ware;1709054;10553;ware
581;klasse;553018;10554;klasse
582;schöne;1709054;10555;schoene
583;produkt;434886;10556;produkt
584;ware;9743730;10557;ware
585;schuhe;553018;10558;schuhe
586;qulität;9743730;1056;qulitaet
587;mehrfach;553018;10560;mehrfach
588;sitz;1709054;10561;sitz
589;nummer;8623725;10562;nummer
590;kommen;709229;10564;kommen
591;niedlich;553018;10565;niedlich
592;toller;8623725;10566;toller
593;past;654563;10567;past
594;farbe;515928;10568;farbe
595;modell;515928;10569;modell
596;bequem;654563;10570;bequem
597;lieben;709229;10571;lieben
598;material;515928;10574;material
599;katalog;8623725;10575;katalog
600;schnell;1709054;10576;schnell
601;schöne;434886;10577;schoene
602;oberweite;654563;10578;oberweite
603;toller;515928;10579;toller
604;bestechen;709229;1058;bestechen
605;schöne;654563;10581;schoene
606;welt;553018;10582;welt
607;sau;553018;10583;sau
608;top;44970574;10584;top
609;zurückschicken;655046;10585;zurueckschicken
610;material;515928;10586;material
611;tragen;553018;10587;tragen
612;türkis;8623725;10588;tuerkis
613;gr;709229;10589;gr
614;passt;434886;10590;passt
615;jahr;1709054;10591;jahr
616;weich;553018;10592;weich
617;dark;434886;10593;dark
618;preis;655046;10594;preis
619;lange;8623725;10595;lange
620;tolles;44970574;10596;tolles
621;extra;8623725;10597;extra
622;fest;515928;10598;fest
623;bequem;553018;10599;bequem
624;locker;1709054;106;locker
625;qualität;8623725;10600;qualitaet
626;bequem;434886;10601;bequem
627;past;515928;10602;past
628;material;654563;10603;material
629;sitzen;654563;10604;sitzen
630;stoff;434886;10605;stoff
631;qualität;1709054;10606;qualitaet
632;material;1709054;10607;material
633;material;434886;10608;material
634;bequem;515928;10609;bequem
635;angenehm;654563;1061;angenehm
636;danke;1709054;10610;danke
637;tragecomfort;1709054;10611;tragecomfort
638;sitzt;655046;10612;sitzt
639;angenehm;515928;10613;angenehm
640;teil;709229;10614;teil
641;material;654563;10615;material
642;angenehm;654563;10616;angenehm
643;passen;553018;10617;passen
644;top;8623725;10618;top
645;material;8623725;10619;material
646;körbchengröße;655046;1062;koerbchengroesse
647;material;655046;10620;material
648;klein;655046;10621;klein
649;tolles;709229;10622;tolles
650;locker;654563;10623;locker
651;qualität;515928;10624;qualitaet
652;ware;9743730;10625;ware
653;sommerhose;44970574;10626;sommerhose
654;bequem;553018;10627;bequem
655;unheimlich;8623725;10628;unheimlich
656;klassen;515928;10629;klassen
657;eindeutig;553018;1063;eindeutig
658;sitz;8623725;10630;sitz
659;fallen;709229;10631;fallen
660;griessen;709229;10632;griessen
661;passen;44970574;10633;passen
662;toller;515928;10634;toller
663;bestes;1709054;10635;bestes
664;sitzt;655046;10636;sitzt
665;gleich;434886;10637;gleich
666;passen;553018;10638;passen
667;bequ;553018;10639;bequ
668;lila;553018;1064;lila
669;sitzen;515928;10640;sitzen
670;nie;553018;10641;nie
671;rundum;654563;10642;rundum
672;begeistert;654563;10643;begeistert
673;umstandskleid;709229;10644;umstandskleid
674;wunder;553018;10645;wunder
675;blickdichen;9743730;10646;blickdichen
676;formstark;8623725;10647;formstark
677;farbe;9743730;10648;farbe
678;preis;553018;10649;preis
679;zigfach;654563;1065;zigfach
680;qualität;434886;10650;qualitaet
681;reinfall;654563;10651;reinfall
682;wahr;434886;10652;wahr
683;qualität;434886;10653;qualitaet
684;gr;8623725;10654;gr
685;passform;655046;10655;passform
686;material;44970574;10656;material
687;passt;654563;10657;passt
688;weich;553018;10658;weich
689;qualität;1709054;10659;qualitaet
690;träger;654563;1066;traeger
691;extra;709229;10660;extra
692;passt;655046;10661;passt
693;rafinierte;8623725;10662;rafinierte
694;persönlich;553018;10663;persoenlich
695;hosen;44970574;10664;hosen
696;erster;9743730;10665;erster
697;farb;515928;10667;farb
698;schwarz;44970574;10668;schwarz
699;passt;434886;10669;passt
700;mehr;654563;1067;mehr
701;hosen;44970574;10670;hosen
702;merkwürdig;44970574;10671;merkwuerdig
703;schönes;553018;10672;schoenes
704;schwierig;8623725;10673;schwierig
705;material;44970574;10674;material
706;gute;8623725;10675;gute
707;ausschnitt;1709054;10676;ausschnitt
708;wunderschön;9743730;10677;wunderschoen
709;qualität;434886;10678;qualitaet
710;optisch;9743730;10679;optisch
711;tragen;654563;1068;tragen
712;hoffe;434886;10680;hoffe
713;angenehm;44970574;10681;angenehm
714;bequeme;44970574;10682;bequeme
715;shirt;1709054;10683;shirt
716;material;44970574;10684;material
717;schokoladenbraun;9743730;10685;schokoladenbraun
718;material;1709054;10686;material
719;material;655046;10688;material
720;absolut;9743730;10689;absolut
721;finden;553018;1069;finden
722;ware;654563;10690;ware
723;material;44970574;10691;material
724;sitzen;44970574;10692;sitzen
725;material;44970574;10693;material
726;passen;434886;10694;passen
727;grün;9743730;10695;gruen
728;passen;44970574;10696;passen
729;prima;654563;10697;prima
730;aquapastell;44970574;10698;aquapastell
731;angenehmer;44970574;10699;angenehmer
732;tolle;8623725;107;tolle
733;material;654563;10700;material
734;material;44970574;10701;material
735;material;44970574;10702;material
736;nie;655046;10703;nie
737;geben;709229;10704;geben
738;leggins;709229;10705;leggins
739;preis;654563;10706;preis
740;preis;434886;10707;preis
741;klein;709229;10708;klein
742;material;434886;10709;material
743;mehrmals;654563;1071;mehrmals
744;gardinen;9743730;10710;gardinen
745;farbe;9743730;10711;farbe
746;material;654563;10712;material
747;qualität;9743730;10713;qualitaet
748;bequem;553018;10714;bequem
749;farbe;434886;10715;farbe
750;farbe;434886;10716;farbe
751;finden;709229;10717;finden
752;passen;553018;10718;passen
753;sache;9743730;10719;sache
754;fuer;654563;1072;fuer
755;schöne;44970574;10720;schoene
756;material;44970574;10721;material
757;material;434886;10722;material
758;verdunkeln;9743730;10724;verdunkeln
759;passt;44970574;10725;passt
760;erster;1709054;10726;erster
761;getestet;655046;10727;getestet
762;qualität;434886;10728;qualitaet
763;angenehmer;9743730;10729;angenehmer
764;größe;1709054;1073;groesse
765;material;44970574;10730;material
766;größe;44970574;10731;groesse
767;lieben;553018;10732;lieben
768;wählen;44970574;10733;waehlen
769;bequem;553018;10734;bequem
770;vorne;44970574;10735;vorne
771;verdunkelungsvorhang;9743730;10736;verdunkelungsvorhang
772;hosenbeine;434886;10737;hosenbeine
773;schnelle;9743730;10738;schnelle
774;material;655046;10739;material
775;ja;44970574;1074;ja
776;tragen;654563;10740;tragen
777;tatsächlich;44970574;10741;tatsaechlich
778;passt;553018;10742;passt
779;okay;654563;10743;okay
780;länge;44970574;10744;laenge
781;gute;655046;10745;gute
782;passform;655046;10746;passform
783;material;434886;10747;material
784;passt;8623725;10748;passt
785;passen;553018;10749;passen
786;superschönes;44970574;1075;superschoenes
787;mutter;8623725;10750;mutter
788;farbe;1709054;10751;farbe
789;brustansatz;709229;10752;brustansatz
790;sitzen;8623725;10753;sitzen
791;passform;434886;10754;passform
792;weich;515928;10755;weich
793;passt;515928;10756;passt
794;überraschen;654563;10757;ueberraschen
795;angenehm;654563;10758;angenehm
796;gerade;8623725;10759;gerade
797;frau;515928;1076;frau
798;qualitativ;434886;10760;qualitativ
799;tagekomfort;434886;10761;tagekomfort
800;bequem;655046;10762;bequem
801;matrial;44970574;10763;matrial
802;eng;44970574;10765;eng
803;beschreiben;434886;10766;beschreiben
804;erhalten;8623725;10767;erhalten
805;sitzt;44970574;10768;sitzt
806;katalog;44970574;10769;katalog
807;material;8623725;1077;material
808;eignen;655046;10770;eignen
809;lange;1709054;10771;lange
810;passform;44970574;10772;passform
811;sitzen;8623725;10773;sitzen
812;qualität;9743730;10774;qualitaet
813;ware;44970574;10775;ware
814;fall;709229;10776;fall
815;müssen;44970574;10777;muessen
816;angenehm;709229;10778;angenehm
817;passen;44970574;10779;passen
818;erwarten;654563;1078;erwarten
819;stretchmaterial;44970574;10780;stretchmaterial
820;ausgezeichnetes;655046;10781;ausgezeichnetes
821;hüften;44970574;10782;hueften
822;preis;654563;10783;preis
823;schwarz;8623725;10784;schwarz
824;behalten;9743730;10785;behalten
825;schicken;44970574;10786;schicken
826;schicke;44970574;10787;schicke
827;qualität;655046;10789;qualitaet
828;material;655046;1079;material
829;passend;44970574;10790;passend
830;fällen;1709054;10791;faellen
831;bequem;655046;10792;bequem
832;voll;1709054;10793;voll
833;lieben;553018;10794;lieben
834;material;9743730;10795;material
835;schöner;515928;10796;schoener
836;supergünstig;654563;10797;superguenstig
837;trage;709229;10798;trage
838;genaue;654563;10799;genaue
839;sitzen;434886;108;sitzen
840;eben;515928;1080;eben
841;verand;434886;10800;verand
842;brust;8623725;10801;brust
843;natürlich;8623725;10802;natuerlich
844;braun;9743730;10803;braun
845;qualität;1709054;10804;qualitaet
846;sitzt;655046;10805;sitzt
847;sah;709229;10807;sah
848;preis;434886;10808;preis
